name,description,category,quality,ambientacion,basePrice,minMargin,maxMargin,status
Desayuno Plata Menu,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina,  Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Club, 760.9 ,15%,25%,active
Desayuno Plata Mobiliario,"Mesa redonda con mantelería fina,Sillas plegables,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Plata,Club, 326.1 ,15%,25%,active
Desayuno Plata Menu,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina,  Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Ceremonia, 762.0 ,15%,25%,active
Desayuno Plata Mobiliario,"Mesa redonda con mantelería fina,Sillas plegables,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Plata,Ceremonia, 342.3 ,15%,25%,active
Desayuno Plata Menu,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina,  Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Gala,375.9,15%,25%,active
Desayuno Plata Mobiliario,"Mesa redonda con mantelería fina,Sillas plegables,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Plata,Gala,763.2,15%,25%,active
Desayuno Oro Menu,"Cecina de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina,  Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Oro,Club,763.91,15%,30%,active
Desayuno Oro Descripción,Menú personalizado (2 por mesa),Decoracion,Oro,Club,10.91,15%,30%,active
Desayuno Oro Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Oro,Club,316.48,15%,30%,active
Desayuno Oro Menu,"Cecina de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina,  Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Oro,Ceremonia,776.09,15%,30%,active
Desayuno Oro Descripción,Menú personalizado (2 por mesa),Decoracion,Oro,Ceremonia,11.09,15%,30%,active
Desayuno Oro Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Oro,Ceremonia,321.52,15%,30%,active
Desayuno Oro Menu,"Cecina de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina,  Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Oro,Gala,785.22,15%,30%,active
Desayuno Oro Descripción,Menú personalizado (2 por mesa),Decoracion,Oro,Gala,11.22,15%,30%,active
Desayuno Oro Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Oro,Gala,325.30,15%,30%,active
Desayuno Platino Menu,"Bistek de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina,  Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Platino,Club,765.13,15%,35%,active
Desayuno Platino Decoración,Menú personalizado (por invitado),Decoracion,Platino,Club,10.93,15%,35%,active
Desayuno Platino Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Platino,Club,316.98,15%,35%,active
Desayuno Platino Menu,"Bistek de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina,  Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Platino,Ceremonia,777.30,15%,35%,active
Desayuno Platino Decoración,Menú personalizado (por invitado),Decoracion,Platino,Ceremonia,11.10,15%,35%,active
